t,vs_fpm,vcas_kts,alt_ft,nz,alpha_deg,pstick,throttle
2.45,3230.73,211.372,5741.05,1.20673,6.98983,0,0.458093
2.46667,3230.71,211.365,5741.95,1.20672,6.99024,0,0.458093
2.48333,3230.68,211.358,5742.84,1.20671,6.99065,0,0.458093
2.5,3230.65,211.351,5743.74,1.2067,6.99106,0,0.458093
2.51667,3230.62,211.343,5744.64,1.20669,6.99147,0,0.458093
2.53333,3230.6,211.336,5745.54,1.20668,6.99188,0,0.458093
2.55,3230.57,211.329,5746.43,1.20667,6.99229,0,0.458093
2.56667,3230.54,211.322,5747.33,1.20666,6.9927,0,0.458093
2.58333,3230.52,211.315,5748.23,1.20665,6.99311,0,0.458093
2.6,3230.49,211.308,5749.13,1.20664,6.99352,0,0.458093
2.61667,3230.46,211.3,5750.02,1.20663,6.99393,0,0.458093
2.63333,3230.44,211.293,5750.92,1.20662,6.99434,0,0.458093
2.65,3230.41,211.286,5751.82,1.20661,6.99475,0,0.458093
2.66667,3230.39,211.279,5752.71,1.2066,6.99516,0,0.458093
2.68333,3230.36,211.272,5753.61,1.20659,6.99557,0,0.458093
2.7,3230.33,211.264,5754.51,1.20658,6.99598,0,0.458093
2.71667,3230.31,211.257,5755.41,1.20657,6.99639,0,0.458093
2.73333,3230.28,211.25,5756.3,1.20656,6.9968,0,0.458093
2.75,3230.26,211.243,5757.2,1.20655,6.99721,0,0.458093
2.76667,3230.23,211.236,5758.1,1.20654,6.99762,0,0.458093
2.78333,3230.21,211.228,5759,1.20652,6.99803,0,0.458093
2.8,3230.18,211.221,5759.89,1.20651,6.99844,0,0.458093
2.81667,3230.16,211.214,5760.79,1.2065,6.99884,0,0.458093
2.83333,3230.13,211.207,5761.69,1.20649,6.99925,0,0.458093
2.85,3230.11,211.2,5762.59,1.20648,6.99966,0,0.458093
2.86667,3230.08,211.192,5763.48,1.20647,7.00007,0,0.458093
2.88333,3230.06,211.185,5764.38,1.20646,7.00048,0,0.458093
2.9,3230.03,211.178,5765.28,1.20645,7.00089,0,0.458093
2.91667,3230.01,211.171,5766.17,1.20644,7.0013,0,0.458093
2.93333,3229.98,211.163,5767.07,1.20643,7.00171,0,0.458093
2.95,3229.96,211.156,5767.97,1.20642,7.00212,0,0.458093
2.96667,3229.94,211.149,5768.87,1.20641,7.00253,0,0.458093
2.98333,3229.91,211.142,5769.76,1.20639,7.00294,0,0.458093
3,3229.89,211.135,5770.66,1.20638,7.00335,0,0.458093
3.01667,3229.86,211.127,5771.56,1.20637,7.00376,0,0.458093
3.03333,3229.84,211.12,5772.45,1.20636,7.00417,0,0.458093
3.05,3229.82,211.113,5773.35,1.20635,7.00458,0,0.458093
3.06667,3229.79,211.106,5774.25,1.20634,7.00499,0,0.458093
3.08333,3229.77,211.098,5775.15,1.20633,7.0054,0,0.458093
3.1,3229.75,211.091,5776.04,1.20632,7.00581,0,0.458093
3.11667,3229.72,211.084,5776.94,1.20631,7.00622,0,0.458093
3.13333,3229.7,211.077,5777.84,1.20629,7.00663,0,0.458093
